# Mannschaftsnamen Verknüpfung: OpenLigaDB API <-> fussballdaten.de
# Format: Allgemeiner Name | OpenLigaDB API Name | fussballdaten.de Name

## 1. Bundesliga

# Aufsteiger 
1. FC Köln | 1. FC Köln | 1-fc-koeln
Hamburger SV | Hamburger SV | hamburger-sv

# Bestehende Teams
1. FSV Mainz 05 | 1. FSV Mainz 05 | 1-fsv-mainz-05
RB Leipzig | RB Leipzig | rb-leipzig
1. FC Heidenheim 1846 | 1. FC Heidenheim 1846 | 1-fc-heidenheim-1846
TSG 1899 Hoffenheim | TSG 1899 Hoffenheim | 1899-hoffenheim
VfL Wolfsburg | VfL Wolfsburg | vfl-wolfsburg
VfB Stuttgart | VfB Stuttgart | vfb-stuttgart
FC St. Pauli | FC St. Pauli | fc-st-pauli
FC Bayern München | FC Bayern München | fc-bayern-muenchen
Borussia Mönchengladbach | Borussia Mönchengladbach | borussia-moenchengladbach
FC Augsburg | FC Augsburg | fc-augsburg
Bayer 04 Leverkusen | Bayer 04 Leverkusen | bayer-leverkusen
1. FC Köln | 1. FC Köln | 1-fc-koeln
Hamburger SV | Hamburger SV | hamburger-sv
SC Freiburg | SC Freiburg | sc-freiburg
Eintracht Frankfurt | Eintracht Frankfurt | eintracht-frankfurt
Borussia Dortmund | Borussia Dortmund | borussia-dortmund
SV Werder Bremen | SV Werder Bremen | sv-werder-bremen
1. FC Union Berlin | 1. FC Union Berlin | 1-fc-union-berlin


## 2. Bundesliga

# Aufsteiger 
Arminia Bielefeld | Arminia Bielefeld | arminia-bielefeld
Dynamo Dresden | Dynamo Dresden | dynamo-dresden

# Absteiger 
VfL Bochum 1848 | VfL Bochum 1848 | vfl-bochum-1848
Holstein Kiel | Holstein Kiel | holstein-kiel

# Bestehende Teams
Arminia Bielefeld | Arminia Bielefeld | arminia-bielefeld
SV Darmstadt 98 | SV Darmstadt 98 | sv-darmstadt-98
Karlsruher SC | Karlsruher SC | karlsruher-sc
SpVgg Greuther Fürth | SpVgg Greuther Fürth | spvgg-greuther-furth
SC Paderborn 07 | SC Paderborn 07 | sc-paderborn-07
FC Schalke 04 | FC Schalke 04 | fc-schalke-04
SV Elversberg | SV Elversberg | sv-elversberg
Hannover 96 | Hannover 96 | hannover-96
Eintracht Braunschweig | Eintracht Braunschweig | eintracht-braunschweig
Dynamo Dresden | Dynamo Dresden | dynamo-dresden
Preußen Münster | Preußen Münster | preussen-muenster
Holstein Kiel | Holstein Kiel | holstein-kiel
Hertha BSC Berlin | Hertha BSC Berlin | hertha-bsc
1. FC Kaiserslautern | 1. FC Kaiserslautern | 1-fc-kaiserslautern
1. FC Nürnberg | 1. FC Nürnberg | 1-fc-nuernberg
1. FC Magdeburg | 1. FC Magdeburg | 1-fc-magdeburg
VfL Bochum 1848 | VfL Bochum 1848 | vfl-bochum
Fortuna Düsseldorf | Fortuna Düsseldorf | fortuna-duesseldorf
