# Automatisch generierte Mannschaftsliste
# Saison: 2024/2025
# Generiert am: Thu Dec 04 06:36:43 UTC 2025
# Format: Liga | Anzeigename | URL-Name

## 1. Bundesliga (18 Teams)
1BL | Bayern | fc-bayern-muenchen
1BL | Leverkusen | bayer-leverkusen
1BL | Frankfurt | eintracht-frankfurt
1BL | Dortmund | borussia-dortmund
1BL | Freiburg | sc-freiburg
1BL | Mainz | 1-fsv-mainz-05
1BL | RB Leipzig | rb-leipzig
1BL | Bremen | sv-werder-bremen
1BL | Stuttgart | vfb-stuttgart
1BL | M'gladbach | borussia-moenchengladbach
1BL | Wolfsburg | vfl-wolfsburg
1BL | Augsburg | fc-augsburg
1BL | Union Berlin | 1-fc-union-berlin
1BL | St. Pauli | fc-st-pauli
1BL | Hoffenheim | 1899-hoffenheim
1BL | Heidenheim | 1-fc-heidenheim-1846
1BL | Holstein Kiel | holstein-kiel
1BL | VfL Bochum | vfl-bochum

## 2. Bundesliga (0 Teams)
