﻿﻿# Empfohlene Kernspieler pro Team (basierend auf AufstellungsAnalyzer)
# Generiert am: Sun Sep 20 07:27:59 UTC 2026
# Format: Team | Torwart | Abwehr | Mittelfeld1 | Mittelfeld2 | Angriff1 | Angriff2

Fc Augsburg | Finn Gilbert Dahmen | Calvin Marc Brackelmann | Han-Noah Massengo | Klaus Sima Suso | Rodrigo Duarte Ribeiro | Michael Gregoritsch
1. Fc Union Berlin | Frederik Riis Rønnow | Ohis Felix Uduokhai | Aljoscha Kemlein | Rani Khedira | Oliver Jasen Burke | Livan Baha Burcu
Sv Werder Bremen | Karl Jakob Hein | Olivier Deman | Jens Dalsgaard Stage | Senne Maaike Lynen | Keke Maximilian Topp | Niclas Füllkrug
Borussia Dortmund | Gregor Kobel | Waldemar Anton | Jobe Samuel Patrick Bellingham | Felix Kalu Nmecha | Serhou Yadaly Guirassy | Maximilian Beier
Sv Elversberg | Frank Lehmann | Look Sa Nicholas Kengkhetid Mickelson | Amara Condé | Maurice Krattenmacher | Noel Futkeu | Luca Pfeiffer
Eintracht Frankfurt | Noah Atubolu | Elias Niklas Baum | Oscar Winther Højlund | Farès Chaïbi | Ansgar Knauff | Jonathan Michael Burkardt
Sport Club Freiburg | Mio Backhaus | Philipp Lienhart | Patrick Osterhage | Maximilian Eggestein | Derry Lionel Scherhant | Lucas Höler
Hamburger Sv | Daniel Heuer Fernandes | David Møller Wolfe | Bilal Nadir | Martin Gabriel Belaid Adeline | Terem Igobor Moffi | Yussuf Yurary Poulsen
Tsg Hoffenheim | Oliver Baumann | Robin Hranáč | Leon Avdullahu | Patrick Wimmer | Max Moerstedt | Adam Hložek
1. Fc Koeln | Marvin Schwäbe | Joël Pascal Schmied | Tom Krauß | Ellyes Joris Skhiri | Gian-Luca Waldschmidt | Ragnar Prince Friedel Ache
Rb Leipzig | Ørjan Håskjold Nyland | Abdoul Yohan Koné | Ezechiel Banzuzi | Forzan Assan Ouédraogo | Antonio Eromonsele Nordby Nusa | Marc Guiu Paz
Bayer 04 Leverkusen | Mark Maria Hubertus Flekken | Facundo Axel Medina | Ignacio Ezequiel Agustín Fernández Carballo | Jonas Hofmann | Afonso Bastardo Moreira | Martin Albert Frederic Terrier
1. Fsv Mainz 05 | Alexander Schwolow | Phillipp Mwene | Kaishu Sano | Jaesung Lee | Phillip Tietz | Ransford-Yeboah Königsdörffer
Borussia Moenchengladbach | Moritz Nicolas | Fabio Cristian Chiarodia | Kevin Stöger | Enzo Leopold | Isac Alexi Sivert Lidberg | Tim Kleindienst
Fc Bayern Muenchen | Manuel Peter Neuer | Dayotchanculle Oswald Upamecano | Joshua Walter Kimmich | Tom Bischof | Serge David Gnabry | Harry Edward Kane
Sc Paderborn 07 | Markus Schubert | Ruben Müller | Santiago Castaneda | Tom Baack | Rayan Philippe | Sven Michel
Fc Schalke 04 | Loris Sven Karius | Hasan Kuruçay | Ron Schallenberg | Satoshi Tanaka | Hee Chan Hwang | Moussa Sylla
Vfb Stuttgart | Fabian Bredlow | Ameen Al-Dakhil | Angelo Nicolas Stiller | Chris Jan Führich | Tiago Barreiros de Melo Tomás | Ermedin Demirović
Dsc Arminia Bielefeld | Jonas Thomas Kersken | Felix Hagmann | Marvin Mehlem | Sam Francis Schreck | David Min | Joel Grodowski
Vfl Bochum 1848 | Timo Phil Horn | Sean Desmond Klaiber | Enis Çokaj | Jean-Manuel Mbom | Christian Theodor Kjelder Rasmussen | Jarne Steuckers
Eintracht Braunschweig | Ron-Thorben Hoffmann | Noah Katterbach | Florian Flick | Yann Sturm | Maximilian Entrup | Jovan Mijatović
Fc Energie Cottbus | Marcel Laurenz Lotka | King Samuel Manu | Dominik Leon Pelivan | Jonas Dietmar Hofmann | Christian Kinsombi | Lucas Fernando Copado Schrobenhauser
Sv Darmstadt 98 | Marcel Schuhen | Florian Kleinhansl | Marco Richter | Nicolas Verkooijen | Noah Raphael Weißhaupt | Luca Marseiler
Sg Dynamo Dresden | Tim Stanislaw Schreiber | Tan-Kenneth Jerico Leka-Schmidt | Nicolai Rapp | Luca Valentin Herrmann | Kennedy Onyedika Okpala | Vincent Vermeij
Spvgg Greuther Fuerth | Florian Pascal Hellstern | Lukas Reich | Sacha Jordan Bansé | Shinta Karl Appelkamp | Dennis Srbeny | Theoson-Jordan Pefok Siebatcheu
Hannover 96 | Pascal David Loretz | Boris Tomiak | Waniss Taïbi | Marcel Hartel | Mustapha Bundu Shong Hames | Paul Benjamin Sven-Eber Källman
1. Fc Heidenheim 1846 | Frank Feller | Marnon-Thomas Busch | Jan Schöppner | Paul Hennrich | Budu Zivzivadze | Maximilian Breunig
Hertha Bsc | Konstantin Günter Georg Heide | Julian Eitschberger | Kevin Simone Sessa | Oluwaseun Victor Adewumi | Josip Brekalo | Håkan Gustaf Nilsson
1. Fc Kaiserslautern | Julian Krahl | Simon Asta | Fabian Kunze | Marlon Maurice Ritter | Ivan Prtajin | Ibrahim Kanaté
Karlsruher Sc | Hans Christian Bernat | Sebastian Alexander Jung | Hyeokkyu Kwon | Santeri Leevi Oliver Väänänen | Moritz Broschinski | Noel Eichinger
Holstein Kiel | Timon Moritz Weiner | Frederik Roslyng Christiansen | Steven Skrzybski | Guillermo Balzi | Giorgi Kvilitaia | Gyan Gavin de Regt
1. Fc Magdeburg | Dominik Reimann | Anselmo García MacNulty | Emmanuel Iyoha | Moritz-Broni Kwarteng | Roko Šimić | Alexander Nollenberger
1. Fc Nuernberg | Jan Reichert | Alexios Kalogeropoulos | Adam Markhiyev | Javier Fernández González | Rayan Ghrieb | Sigurd Hauso Haugen
Vfl Osnabrueck | Niklas Sauter | Joel Abu Hanna | Jonathan Wensing | Bryan Henning | Daniel Kofi Kyereh | Ismail Badjie
Fc St Pauli | Ben Alexander Voll | Rony Jene Aleksi Jansson | Gisli Thórdarson | Eric Anders Smith | Youssoupha Niang | Abdoulie Ceesay
Vfl Wolfsburg | Timon Janis Wellenreuther | Kilian Fischer | Vinicius de Souza Costa | Bence Dárdai | Kento Shiogai | Fraser David Ingham Hornby
